RaceId,PoolLength,RaceEventName,AthleteGenderName,Lap1_15mElapsedTime,Jump Height (Flight Time) [cm],Peak Power / BM [W/kg]
0118aae9-93b1-40e7-86af-df7db6444c9d,50,50 m Backstroke,Men,6.04,44.648,
028b04a7-0f82-45b6-a295-325027f665e1,50,50 m Backstroke,Men,6.08,44.448,
0465b974-eb8a-40a0-97d1-01028f1130e5,50,50 m Backstroke,Men,6.17,44.248,
04ed6359-e0a1-4fcf-9bc2-fb396ac186e9,50,50 m Backstroke,Men,6.30,44.048,
05bd7804-19d7-45a2-b151-59639351e959,50,50 m Backstroke,Men,6.35,43.848,
05f426f6-48dd-47dc-8bfe-a15286313031,50,50 m Backstroke,Men,6.38,44.448,
090e62c2-cb86-48bf-8fc6-0ab99d640763,50,50 m Backstroke,Men,6.40,43.448,
0955926d-12ba-47df-ab67-50ffbfd5c52e,50,50 m Backstroke,Men,6.46,43.248,
0a5a4b0e-e8c2-45ba-9c0d-68fe84ecef1b,50,50 m Backstroke,Men,6.54,43.048,
0af40594-352c-4892-8de8-a90e3e0b6aa7,50,50 m Backstroke,Men,6.60,42.848,
0b96ebd2-f984-4a2c-ae15-57209b8e859b,50,50 m Backstroke,Men,6.62,42.648,
0d0fb58f-9d0f-42c9-accf-b22e3baac26f,50,50 m Backstroke,Men,6.62,42.448,
0d39bcbc-987d-46e6-a5a6-30f1f4261600,50,50 m Backstroke,Men,6.82,43.248,
0dd6c3cb-91d2-45e3-93ce-919ac479fc7d,50,50 m Backstroke,Men,6.90,42.048,
0ec58011-bdea-4ead-97e6-a5dee744c491,50,50 m Backstroke,Men,6.92,41.848,
0f6f69fb-3610-4a16-a29f-50775fbf969a,50,50 m Backstroke,Men,6.92,41.648,
0fe3dd20-dd83-42b5-b325-961ffc831c69,50,50 m Backstroke,Men,6.98,41.448,
10af1441-c449-4c55-8b76-bd520f1b9069,25,50 m Backstroke,Men,7.00,41.248,
009e1505-8709-4103-9e30-6be7c52e5f02,50,50 m Backstroke,Women,7.21,33.080,
01603f80-fbc0-43a1-93ac-0a890a365f5b,25,50 m Backstroke,Women,7.38,32.880,
